"roll","id","gStars","gVetos","usedStars","usedVetos","adjStars","adjVetos","monthStars","monthVetos"
"EA24A01","1","2","1","0","0","2","1","0","1"
"EA24A04","4","2","0","0","0","2","0","0","0"
"EA24A11","11","0","1","0","0","0","1","0","0"
"EA24B01","12","6","3","0","0","6","3","0","1"
"EA24B09","51","4","0","0","0","4","0","0","0"
"EA24C02","16","18","5","0","0","18","5","0","3"
"EA24C04","18","0","1","0","0","0","1","0","0"
"EA24C06","33","3","1","1","0","2","1","0","1"
"EA24D01","19","11","1","1","1","10","0","6","0"
"EA24D04","22","0","1","0","0","0","1","0","0"
"EA24D07","25","100","0","0","0","100","0","0","0"
"EA24D25","89","2","1","0","0","2","1","0","1"
"EA25A07","37","3","1","0","0","3","1","0","1"
"EA25B06","45","3","0","0","0","3","0","0","0"
"EA25B14","83","5","0","0","0","5","0","0","0"
"EA25C07","39","2","1","0","0","2","1","0","1"
"EA25C08","42","0","1","0","0","0","1","0","0"
"EA25C09","43","3","0","0","0","3","0","0","0"
"EA25C11","52","1","0","0","0","1","0","0","0"
"EA25C19","77","1","0","0","0","1","0","0","0"
"EA25D17","57","3","0","2","0","1","0","3","0"
"EA25D19","59","200","0","0","0","200","0","0","0"
"EA25D20","60","6","4","0","1","6","3","0","0"
"EA25D21","72","3","0","0","0","3","0","0","0"
"EA25D22","67","7","0","0","0","7","0","0","0"
"EA25E03","49","0","1","0","0","0","1","0","0"
